city,job_title,job_type,job_url
Lima,Ilustrador ,Freelance,https://job-arts.com/detail/29/
Lima,Community Manager ,Tiempo Completo,https://job-arts.com/detail/19/
Lima,Ejecutiva de Ventas ,Tiempo Completo,https://job-arts.com/detail/23/
Lima,Asistente de Marketing Digital ,Medio Tiempo,https://job-arts.com/detail/26/
Lima,Diseñador(a) Gráfico(a) ,Tiempo Completo,https://job-arts.com/detail/28/
Lima,Community Manager ,Tiempo Completo,https://job-arts.com/detail/20/
Lima,Community Manager / Diseño gráfico ,Tiempo Completo,https://job-arts.com/detail/27/
Lima,Diseñador Gráfico ,Medio Tiempo,https://job-arts.com/detail/22/
Lima,Desarrollador WEB / Wordpress ,Freelance,https://job-arts.com/detail/18/
Lima,Diseñador Gráfico / Branding FREELANCE ,Freelance,https://job-arts.com/detail/24/
