city,job_title,job_type,job_url
Lima,Ilustrador ,Freelance,https://job-arts.com/detail/53/
Lima,Ejecutiva de Ventas ,Tiempo Completo,https://job-arts.com/detail/47/
Lima,Diseñador(a) Gráfico(a) ,Tiempo Completo,https://job-arts.com/detail/52/
Lima,Diseñador Gráfico ,Tiempo Completo,https://job-arts.com/detail/45/
Lima,Diseñador Gráfico ,Medio Tiempo,https://job-arts.com/detail/46/
Lima,Diseñador Gráfico / Branding FREELANCE ,Freelance,https://job-arts.com/detail/48/
Lima,Community Manager ,Tiempo Completo,https://job-arts.com/detail/43/
Lima,Community Manager ,Tiempo Completo,https://job-arts.com/detail/44/
Lima,Desarrollador WEB / Wordpress ,Freelance,https://job-arts.com/detail/42/
Lima,Asistente de Marketing Digital ,Part time,https://job-arts.com/detail/50/
